                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2332,                 4.2976,                 2.8431,                 1.5009,                0.00333,                      1,                  0.995,                0.34376,                0.00333,                      1,                  0.995,                0.65823,                 1.5936,                 1.5478,                 3.4095,                 1.7731,                      0,                      0,                      0
                      2,                 0.6554,                  2.724,                 2.4926,                0.94755,                0.00333,                      1,                  0.995,                 0.3886,                0.00333,                      1,                  0.995,                0.67219,                 1.5144,                 1.4583,                 3.1868,                 1.6688,             1.9934e-05,             1.9934e-05,             1.9934e-05
                      3,                 1.1628,                 2.5137,                 2.7973,                 1.4377,                0.00333,                      1,                  0.995,                0.59686,                0.00333,                      1,                  0.995,                0.80102,                 1.1422,                 1.2687,                 2.9934,                 1.3838,             3.9736e-05,             3.9736e-05,             3.9736e-05
                      4,                0.60642,                 1.4629,                 2.7055,                0.92316,                0.00333,                      1,                  0.995,                0.76244,                0.00333,                      1,                  0.995,                0.83582,                0.56933,                 1.1001,                 2.8806,                 1.0617,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      5,                0.47793,                 2.5841,                 2.4066,                 1.0175,                0.00333,                      1,                  0.995,                0.88738,                0.00333,                      1,                  0.995,                0.85963,                0.30789,                0.93738,                 2.7925,                0.91068,             7.8944e-05,             7.8944e-05,             7.8944e-05
                      6,                0.55857,                 1.3018,                 2.4655,                 1.0635,                0.00333,                      1,                  0.995,                0.93906,                0.00333,                      1,                  0.995,                0.87243,                0.19878,                0.81296,                 2.7725,                0.82646,              9.835e-05,              9.835e-05,              9.835e-05
                      7,                0.45325,                  1.157,                 1.9028,                0.94303,                0.00333,                      1,                  0.995,                0.93906,                0.00333,                      1,                  0.995,                0.89255,                0.16906,                0.70165,                 2.7535,                0.79349,             0.00011762,             0.00011762,             0.00011762
                      8,                0.37204,                0.86805,                  1.948,                 0.8592,                0.00333,                      1,                  0.995,                0.96703,                0.00333,                      1,                  0.995,                0.91629,                0.19746,                0.62838,                 2.7119,                0.77375,             0.00013677,             0.00013677,             0.00013677
                      9,                0.50089,                 1.2431,                 2.0308,                0.88091,                0.00333,                      1,                  0.995,                0.96703,                0.00333,                      1,                  0.995,                 0.9064,                0.26693,                 0.6558,                 2.6786,                0.78012,             0.00015578,             0.00015578,             0.00015578
                     10,                0.26825,                0.59593,                 1.4359,                0.83533,                0.00333,                      1,                  0.995,                0.97503,                0.00333,                      1,                  0.995,                0.87679,                0.34542,                0.83237,                 2.6206,                0.80489,             0.00017465,             0.00017465,             0.00017465
                     11,                0.56507,                0.82971,                 1.2831,                 0.9429,                0.00333,                      1,                  0.995,                0.97503,                0.00333,                      1,                  0.995,                0.81738,                 0.3542,                 1.1033,                 2.5301,                0.82083,              0.0001934,              0.0001934,              0.0001934
                     12,                 0.4026,                0.53151,                 1.0261,                0.84459,                0.00333,                      1,                  0.995,                0.94504,                0.00333,                      1,                  0.995,                0.82989,                0.38724,                 1.1629,                 2.4054,                0.82165,             0.00021201,             0.00021201,             0.00021201
                     13,                0.39862,                0.58987,                 1.0525,                0.85081,                0.00982,                      1,                  0.995,                0.97503,                0.00982,                      1,                  0.995,                 0.8955,                0.28324,                0.92319,                 2.3263,                   0.77,              0.0002305,              0.0002305,              0.0002305
                     14,                0.25791,                0.42134,                0.91083,                0.87494,                0.86097,                      1,                  0.995,                  0.995,                0.86097,                      1,                  0.995,                0.91529,                0.19285,                0.72729,                 2.2991,                0.74088,             0.00024885,             0.00024885,             0.00024885
                     15,                0.36189,                0.51898,                0.91548,                0.84671,                 0.8837,                      1,                  0.995,                  0.995,                 0.8837,                      1,                  0.995,                0.91329,                0.22127,                0.61254,                 2.3284,                0.74354,             0.00026706,             0.00026706,             0.00026706
                     16,                0.53109,                0.52848,                 1.0289,                0.90796,                0.89477,                      1,                  0.995,                  0.995,                0.89477,                      1,                  0.995,                0.93124,                0.27651,                0.57508,                 2.4047,                0.75834,             0.00028515,             0.00028515,             0.00028515
                     17,                0.36321,                0.47769,                0.96721,                0.84194,                0.91372,                      1,                  0.995,                  0.995,                0.91372,                      1,                  0.995,                0.91567,                0.31527,                0.56454,                 2.4444,                0.76734,              0.0003031,              0.0003031,              0.0003031
                     18,                0.40174,                0.43726,                0.89676,                0.80599,                0.91372,                      1,                  0.995,                  0.995,                0.91372,                      1,                  0.995,                0.91567,                0.31527,                0.56454,                 2.4444,                0.76734,             0.00032093,             0.00032093,             0.00032093
                     19,                0.62757,                0.42218,                0.85785,                0.95004,                 0.9145,                      1,                  0.995,                  0.995,                 0.9145,                      1,                  0.995,                0.94704,                0.26349,                 0.5361,                 2.4017,                0.75612,             0.00033862,             0.00033862,             0.00033862
                     20,                0.36615,                0.33488,                0.87601,                0.81702,                 0.9145,                      1,                  0.995,                  0.995,                 0.9145,                      1,                  0.995,                0.94704,                0.26349,                 0.5361,                 2.4017,                0.75612,             0.00035617,             0.00035617,             0.00035617
                     21,                0.51089,                0.44587,                0.99797,                0.85697,                0.98488,                      1,                  0.995,                0.90528,                0.98488,                      1,                  0.995,                0.93549,                0.28901,                0.48727,                 2.2693,                0.75702,              0.0003736,              0.0003736,              0.0003736
                     22,                0.48779,                0.43436,                0.84653,                0.85005,                0.98488,                      1,                  0.995,                0.90528,                0.98488,                      1,                  0.995,                0.93549,                0.28901,                0.48727,                 2.2693,                0.75702,             0.00039089,             0.00039089,             0.00039089
                     23,                0.34186,                0.45832,                0.79563,                0.82846,                0.95586,                      1,                  0.995,                  0.995,                0.95586,                      1,                  0.995,                0.97503,                0.29782,                0.41999,                  2.098,                0.76578,             0.00040806,             0.00040806,             0.00040806
                     24,                0.48472,                0.39106,                 1.0927,                0.85689,                0.95586,                      1,                  0.995,                  0.995,                0.95586,                      1,                  0.995,                0.97503,                0.29782,                0.41999,                  2.098,                0.76578,             0.00042509,             0.00042509,             0.00042509
                     25,                0.37028,                0.40237,                0.80364,                0.83916,                0.94573,                      1,                  0.995,                0.91503,                0.94573,                      1,                  0.995,                  0.995,                0.43379,                0.34903,                 2.0762,                0.81548,             0.00044198,             0.00044198,             0.00044198
